,key,date_time_of_pickup,longitude_of_pickup,latitude_of_pickup,longitude_of_dropoff,latitude_of_dropoff,no_of_passenger,trip_distance,year,month,day,day_of_week,week_of_year,hour
35,39:00.0,2014-06-14 09:39:00,-73.981367,40.74415,-73.993107,40.73326,1,1.5625585042523604,2014,6,14,5,24,9
36,39:00.0,2014-06-14 09:39:00,-73.977608,40.749272,-73.979918,40.739127,1,1.1440165667196314,2014,6,14,5,24,9
37,39:00.0,2014-06-14 09:39:00,-74.005682,40.738755,-73.99507,40.73487,1,0.9923720012767796,2014,6,14,5,24,9
38,39:00.0,2014-06-14 09:39:00,-74.006635,40.74421,-73.988025,40.743882,1,1.5672376211455838,2014,6,14,5,24,9
39,39:00.0,2014-06-14 09:39:00,-73.954927,40.783217,-73.952562,40.789407,1,0.7160681227619486,2014,6,14,5,24,9
40,39:00.0,2014-06-14 09:39:00,-74.00477,40.746977,-73.96411,40.802537,1,7.058856221006829,2014,6,14,5,24,9
41,39:00.0,2014-06-14 09:39:00,-74.00544,40.745935,-73.985797,40.763722,1,2.5770123918936534,2014,6,14,5,24,9
42,39:00.0,2014-06-14 09:39:00,-74.01311,40.70408,-73.973397,40.751617,1,6.252194707888472,2014,6,14,5,24,9
43,39:00.0,2014-06-14 09:39:00,-73.980173,40.74585,-73.986687,40.766567,1,2.3665777150440097,2014,6,14,5,24,9
44,39:00.0,2014-06-14 09:39:00,-73.99287,40.75307,-73.9894,40.75766,1,0.5877805709869616,2014,6,14,5,24,9
45,39:00.0,2014-06-14 09:39:00,-73.96409,40.776612,-73.981708,40.75233,1,3.078936825935046,2014,6,14,5,24,9
46,39:00.0,2014-06-14 09:39:00,-73.98736,40.729017,-73.99781,40.729485,1,0.8815378290865589,2014,6,14,5,24,9
47,39:00.0,2014-06-14 09:39:00,-73.96744,40.772032,-73.981815,40.773535,1,1.2212127371527253,2014,6,14,5,24,9
48,39:00.0,2014-06-14 09:39:00,-73.996132,40.726167,-73.984293,40.729047,1,1.0471038274203612,2014,6,14,5,24,9
49,39:00.0,2014-06-14 09:39:00,-73.986387,40.739997,-73.979067,40.737097,1,0.6955028183127977,2014,6,14,5,24,9
50,39:00.0,2014-06-14 09:39:00,-73.997102,40.722197,-73.963812,40.71224,1,3.0143061547095136,2014,6,14,5,24,9
51,39:00.0,2014-06-14 09:39:00,-73.993222,40.747247,-73.959138,40.763547,1,3.393044401657037,2014,6,14,5,24,9
52,39:00.0,2014-06-14 09:39:00,-73.989773,40.73411,-73.943265,40.691587,1,6.13803541944512,2014,6,14,5,24,9
53,39:00.0,2014-06-14 09:39:00,-73.986618,40.761682,-73.982262,40.771067,1,1.1054717785520574,2014,6,14,5,24,9
54,39:00.0,2014-06-14 09:39:00,-73.99221,40.730832,-73.998578,40.719815,1,1.336573274788633,2014,6,14,5,24,9
55,39:00.0,2014-06-14 09:39:00,-73.96384,40.768102,-73.992085,40.730375,1,4.819790525533358,2014,6,14,5,24,9
56,39:00.0,2014-06-14 09:39:00,-73.96038,40.776002,-73.938887,40.804297,1,3.6271780995778102,2014,6,14,5,24,9
57,39:00.0,2014-06-14 09:39:00,-73.97256,40.756255,-74.000222,40.76261,1,2.433120877460551,2014,6,14,5,24,9
58,39:00.0,2014-06-14 09:39:00,-73.977347,40.758262,-74.00764,40.732922,1,3.7991759258688584,2014,6,14,5,24,9
59,39:00.0,2014-06-14 09:39:00,-73.96619,40.76811,-73.99328,40.739977,1,3.8696196162330794,2014,6,14,5,24,9
60,39:00.0,2014-06-14 09:39:00,-73.993332,40.689932,-73.978802,40.684532,1,1.3635009942956728,2014,6,14,5,24,9
61,39:00.0,2014-06-14 09:39:00,-73.989652,40.772837,-73.991937,40.749412,1,2.610201200870613,2014,6,14,5,24,9
62,39:00.0,2014-06-14 09:39:00,-73.994922,40.749567,-73.992607,40.742872,1,0.7690874223552254,2014,6,14,5,24,9
63,39:00.0,2014-06-14 09:39:00,-73.984972,40.736205,-73.990887,40.742212,1,0.8328447254333884,2014,6,14,5,24,9
64,39:00.0,2014-06-14 09:39:00,-73.98,40.745682,-73.97262,40.758292,1,1.5328323074403583,2014,6,14,5,24,9
65,39:00.0,2014-06-14 09:39:00,-73.975752,40.781657,-73.982252,40.77054,1,1.3510553071209082,2014,6,14,5,24,9
66,39:00.0,2014-06-14 09:39:00,-73.994077,40.741197,-73.984512,40.764202,1,2.6802397317891278,2014,6,14,5,24,9
67,39:00.0,2014-06-14 09:39:00,-73.972752,40.76462,-73.966815,40.772452,1,1.0035644991026451,2014,6,14,5,24,9
68,39:00.0,2014-06-14 09:39:00,-73.992943,40.74247,-73.996302,40.738157,1,0.5565044718060099,2014,6,14,5,24,9
69,39:00.0,2014-06-14 09:39:00,-73.96919,40.76946,-74.00148,40.72626,1,5.516840670100098,2014,6,14,5,24,9
70,39:00.0,2014-06-14 09:39:00,-74.003227,40.725407,-73.988945,40.72304,1,1.231213868611806,2014,6,14,5,24,9
71,39:00.0,2014-06-14 09:39:00,-73.971583,40.766377,-73.97747,40.762815,1,0.6341807577382371,2014,6,14,5,24,9
72,39:00.0,2014-06-14 09:39:00,-73.97615,40.739872,-74.003053,40.756222,1,2.903583972261861,2014,6,14,5,24,9
73,39:00.0,2014-06-14 09:39:00,-73.97318,40.755452,-73.98097,40.744632,1,1.3695882668449562,2014,6,14,5,24,9
74,39:00.0,2014-06-14 09:39:00,-73.96829,40.755192,-73.987627,40.738435,1,2.473405916327374,2014,6,14,5,24,9
75,39:00.0,2014-06-14 09:39:00,-73.948185,40.774497,-73.98173,40.767695,1,2.9225132565849723,2014,6,14,5,24,9
76,39:00.0,2014-06-14 09:39:00,-73.78196,40.64479,-73.97213,40.6404,1,16.04261203167131,2014,6,14,5,24,9
77,39:00.0,2014-06-14 09:39:00,-73.986835,40.76629,-73.990022,40.764802,1,0.3151048673506614,2014,6,14,5,24,9
78,39:00.0,2014-06-14 09:39:00,-73.97961,40.76717,-73.979495,40.771242,1,0.45260495466729567,2014,6,14,5,24,9
79,39:00.0,2014-06-14 09:39:00,-73.955017,40.773412,-73.959745,40.779475,1,0.7824567040904501,2014,6,14,5,24,9
80,39:00.0,2014-06-14 09:39:00,-73.992555,40.714095,-73.983663,40.721375,1,1.1024358234925737,2014,6,14,5,24,9
81,39:00.0,2014-06-14 09:39:00,-73.961491,40.776958,-73.950262,40.77232,1,1.0763734201608632,2014,6,14,5,24,9
82,39:00.0,2014-06-14 09:39:00,-73.993505,40.74981,-73.984672,40.761817,1,1.5274644983257961,2014,6,14,5,24,9
83,39:00.0,2014-06-14 09:39:00,-73.988536,40.721543,-73.984026,40.743492,1,2.4684737942698827,2014,6,14,5,24,9
84,39:00.0,2014-06-14 09:39:00,-73.973565,40.754947,-74.006003,40.70687,1,6.0003659070841415,2014,6,14,5,24,9
85,39:00.0,2014-06-14 09:39:00,-73.98206,40.77772,-73.97436,40.78747,1,1.2624123365851916,2014,6,14,5,24,9
86,39:00.0,2014-06-14 09:39:00,-73.988327,40.74821,-73.991392,40.744802,1,0.45826709443965097,2014,6,14,5,24,9
87,39:00.0,2014-06-14 09:39:00,-73.995295,40.74963,-73.995878,40.737047,1,1.3991485507835846,2014,6,14,5,24,9
88,39:00.0,2014-06-14 09:39:00,-74.012938,40.70807,-73.958972,40.729785,1,5.146067641757942,2014,6,14,5,24,9
89,39:00.0,2014-06-14 09:39:00,-73.97194,40.762475,-73.98824,40.743342,1,2.5304803335638124,2014,6,14,5,24,9
90,39:00.0,2014-06-14 09:39:00,-74.002072,40.740237,-73.99559,40.716945,1,2.6452589392428294,2014,6,14,5,24,9
91,39:00.0,2014-06-14 09:39:00,-73.991572,40.749837,-73.973802,40.737797,1,2.0070895273068334,2014,6,14,5,24,9
92,39:00.0,2014-06-14 09:39:00,-73.991395,40.735137,-74.00564,40.737587,1,1.2299648907055143,2014,6,14,5,24,9
93,39:00.0,2014-06-14 09:39:00,-73.997557,40.756537,-73.988297,40.764865,1,1.2099412142343544,2014,6,14,5,24,9
94,39:00.0,2014-06-14 09:39:00,-73.955755,40.77963,-73.986795,40.750447,1,4.1643666644027215,2014,6,14,5,24,9
95,39:00.0,2014-06-14 09:39:00,-73.9583,40.80089,-73.97335,40.76376,1,4.316036092057043,2014,6,14,5,24,9
96,39:00.0,2014-06-14 09:39:00,-74.003687,40.70605,-73.99041,40.73087,1,2.9761943358939913,2014,6,14,5,24,9
97,39:00.0,2014-06-14 09:39:00,-73.999117,40.734173,-73.97389,40.763952,1,3.932059630893955,2014,6,14,5,24,9
98,39:00.0,2014-06-14 09:39:00,-73.99088,40.75554,-73.97535,40.75122,1,1.3926738218904102,2014,6,14,5,24,9
99,39:00.0,2014-06-14 09:39:00,-73.975692,40.782117,-73.970575,40.758672,1,2.6406791172263784,2014,6,14,5,24,9
100,39:00.0,2014-06-14 09:39:00,-73.954693,40.773215,-73.983427,40.76052,1,2.799741765244614,2014,6,14,5,24,9
101,39:00.0,2014-06-14 09:39:00,-73.935207,40.75077,-73.949648,40.752697,1,1.2343924444191263,2014,6,14,5,24,9
102,39:00.0,2014-06-14 09:39:00,-73.790352,40.643745,-73.994598,40.748702,1,20.788391127069243,2014,6,14,5,24,9
103,39:00.0,2014-06-14 09:39:00,-73.983213,40.744428,-73.992753,40.753042,1,1.2495275030170159,2014,6,14,5,24,9
104,39:00.0,2014-06-14 09:39:00,-74.001452,40.734487,-74.00148,40.734712,1,0.025114066595520144,2014,6,14,5,24,9
105,39:00.0,2014-06-14 09:39:00,-73.967087,40.788497,-73.967118,40.793702,1,0.5784120957415633,2014,6,14,5,24,9
106,39:00.0,2014-06-14 09:39:00,-73.987818,40.75985,-73.961963,40.779332,1,3.0694813057720345,2014,6,14,5,24,9
107,39:00.0,2014-06-14 09:39:00,-73.983472,40.738922,-74.00349,40.722732,1,2.465435270999057,2014,6,14,5,24,9
108,39:00.0,2014-06-14 09:39:00,-73.981537,40.74393,-74.00091,40.720537,1,3.0690283973292365,2014,6,14,5,24,9
109,39:00.0,2014-06-14 09:39:00,-73.98403,40.757731,-73.872712,40.774424,1,9.550858806306865,2014,6,14,5,24,9
110,39:00.0,2014-06-14 09:39:00,-73.790212,40.644205,-73.898725,40.69862,1,10.964129120076315,2014,6,14,5,24,9
111,39:00.0,2014-06-14 09:39:00,-73.977597,40.758087,-74.013315,40.708975,1,6.231458653333814,2014,6,14,5,24,9
112,39:00.0,2014-06-14 09:39:00,-73.97876,40.736587,-74.001597,40.75479,1,2.7907578612222217,2014,6,14,5,24,9
113,39:00.0,2014-06-14 09:39:00,-74.002925,40.723357,-74.017655,40.705132,1,2.3750800737199977,2014,6,14,5,24,9
114,39:00.0,2014-06-14 09:39:00,-73.983557,40.770987,-73.990095,40.76183,1,1.156824454695555,2014,6,14,5,24,9
115,39:00.0,2014-06-14 09:39:00,-73.982112,40.775165,-73.974962,40.790022,1,1.75718683699751,2014,6,14,5,24,9
116,39:00.0,2014-06-14 09:39:00,-73.97107,40.76405,-73.98289,40.68982,1,8.30865915909789,2014,6,14,5,24,9
117,39:00.0,2014-06-14 09:39:00,-73.98748,40.776608,-73.97186,40.799902,1,2.9030531365295817,2014,6,14,5,24,9
118,39:00.0,2014-06-14 09:39:00,-74.004957,40.737597,-73.989523,40.742702,1,1.4179251981765415,2014,6,14,5,24,9
119,39:00.0,2014-06-14 09:39:00,-73.987477,40.75013,-73.978405,40.772792,1,2.631537939940967,2014,6,14,5,24,9
120,39:00.0,2014-06-14 09:39:00,-73.950668,40.779357,-73.981842,40.779302,1,2.6232166540582575,2014,6,14,5,24,9
121,39:00.0,2014-06-14 09:39:00,-73.98059,40.747682,-73.98059,40.747682,1,0.0,2014,6,14,5,24,9
122,39:00.0,2014-06-14 09:39:00,-73.97548,40.776852,-73.95267,40.783477,1,2.0557247049870178,2014,6,14,5,24,9
123,39:00.0,2014-06-14 09:39:00,-73.996185,40.753532,-73.984365,40.753992,1,0.9963166263600259,2014,6,14,5,24,9
124,39:00.0,2014-06-14 09:39:00,-73.958397,40.778772,-73.966175,40.768047,1,1.359732142633186,2014,6,14,5,24,9
125,39:00.0,2014-06-14 09:39:00,-73.996115,40.722317,-74.003342,40.722747,1,0.6105254069787359,2014,6,14,5,24,9
126,39:00.0,2014-06-14 09:39:00,-73.969212,40.761087,-73.98627,40.767207,1,1.5886440581833097,2014,6,14,5,24,9
127,39:00.0,2014-06-14 09:39:00,-74.003515,40.725305,-73.989928,40.751592,1,3.1371738447690407,2014,6,14,5,24,9
128,39:00.0,2014-06-14 09:39:00,-74.007248,40.727522,-73.987782,40.724135,1,1.6819834554182258,2014,6,14,5,24,9
129,39:00.0,2014-06-14 09:39:00,-73.979138,40.755022,-74.011417,40.709817,1,5.7116349882043655,2014,6,14,5,24,9
130,39:00.0,2014-06-14 09:39:00,-73.9624,40.767412,-73.953473,40.772772,1,0.958754021078995,2014,6,14,5,24,9
131,39:00.0,2014-06-14 09:39:00,-73.958,40.768752,-73.956025,40.771297,1,0.32804057648054197,2014,6,14,5,24,9
132,39:00.0,2014-06-14 09:39:00,-73.96765,40.763025,-73.960562,40.775427,1,1.5017347479517817,2014,6,14,5,24,9
133,39:00.0,2014-06-14 09:39:00,-73.994193,40.751092,-74.003652,40.741975,1,1.2886385305804167,2014,6,14,5,24,9
134,39:00.0,2014-06-14 09:39:00,-73.99808,40.736957,-73.998557,40.724587,1,1.3752043960651887,2014,6,14,5,24,9
135,39:00.0,2014-06-14 09:39:00,-73.975412,40.765327,-73.969302,40.762825,1,0.5846068294057528,2014,6,14,5,24,9
136,39:00.0,2014-06-14 09:39:00,-73.995857,40.732792,-73.985787,40.762177,1,3.3736665226146627,2014,6,14,5,24,9
137,39:00.0,2014-06-14 09:39:00,-73.99488,40.765705,-73.9858,40.760697,1,0.9453975351304647,2014,6,14,5,24,9
138,39:00.0,2014-06-14 09:39:00,-74.008063,40.722182,-73.95736,40.774037,1,7.171157181368937,2014,6,14,5,24,9
139,39:00.0,2014-06-14 09:39:00,-74.0018,40.74079,-73.99818,40.72381,1,1.9113683628262623,2014,6,14,5,24,9
140,39:00.0,2014-06-14 09:39:00,-73.95429,40.766287,-73.961268,40.764667,1,0.6142740223917077,2014,6,14,5,24,9
141,39:00.0,2014-06-14 09:39:00,-74.005452,40.707692,-73.98512,40.720387,1,2.2187937009593734,2014,6,14,5,24,9
142,39:00.0,2014-06-14 09:39:00,-73.993063,40.757987,-73.9957,40.740182,1,1.990997791115528,2014,6,14,5,24,9
143,39:00.0,2014-06-14 09:39:00,-73.98722,40.722402,-73.990852,40.729342,1,0.8296493655967383,2014,6,14,5,24,9
144,39:00.0,2014-06-14 09:39:00,-73.981957,40.768555,-73.971425,40.76216,1,1.1361197254451867,2014,6,14,5,24,9
145,39:00.0,2014-06-14 09:39:00,-73.980095,40.755147,-73.993037,40.736612,1,2.3301442202782754,2014,6,14,5,24,9
146,39:00.0,2014-06-14 09:39:00,-73.958775,40.772602,-73.988202,40.763167,1,2.689419898422191,2014,6,14,5,24,9
147,39:00.0,2014-06-14 09:39:00,-73.99619,40.743327,-74.00315,40.723092,1,2.3237377911909136,2014,6,14,5,24,9
148,39:00.0,2014-06-14 09:39:00,-73.970323,40.793943,-73.955458,40.779405,1,2.0430957233261755,2014,6,14,5,24,9
149,39:00.0,2014-06-14 09:39:00,-73.97472,40.76165,-73.98253,40.75514,1,0.9775044633481019,2014,6,14,5,24,9
150,39:00.0,2014-06-14 09:39:00,-73.99233,40.743607,-74.005145,40.718915,1,2.948476235801256,2014,6,14,5,24,9
151,39:00.0,2014-06-14 09:39:00,-73.990102,40.756892,-73.98937,40.736727,1,2.2416851513739147,2014,6,14,5,24,9
152,42:12.0,2011-12-12 05:42:12,-73.9851,40.7365,-73.9902,40.7466,1,1.2016990594358206,2011,12,12,0,50,5
153,42:12.0,2011-12-12 05:42:12,-73.967846,40.801121,-73.971495,40.794979,1,0.7483826782147015,2011,12,12,0,50,5
154,42:12.0,2011-12-12 05:42:12,-73.983598,40.744122,-74.00721,40.713087,1,3.980923146446213,2011,12,12,0,50,5
155,42:12.0,2011-12-12 05:42:12,-74.003716,40.72374,-73.992444,40.73906,1,1.9491685920915645,2011,12,12,0,50,5
156,42:12.0,2011-12-12 05:42:12,-73.964083,40.771029,-73.976259,40.756069,1,1.9529306894625413,2011,12,12,0,50,5
157,20:40.0,2013-06-26 20:20:40,-73.970698,40.788531,-73.938011,40.85527,1,7.909384350704641,2013,6,26,2,26,20
158,20:40.0,2013-06-26 20:20:40,-73.987433,40.760706,-73.954302,40.778213,1,3.3999206602244594,2013,6,26,2,26,20
159,34:16.0,2009-02-20 09:34:16,-73.974478,40.756004,-73.961013,40.775931,1,2.487534725887946,2009,2,20,4,8,9
160,34:16.0,2009-02-20 09:34:16,-74.010012,40.720559,-74.002766,40.760599,1,4.4910809014836,2009,2,20,4,8,9
161,34:16.0,2009-02-20 09:34:16,-73.964135,40.757195,-73.976472,40.765838,1,1.4144807800608479,2009,2,20,4,8,9
162,14:08.0,2010-08-22 17:14:08,-73.863752,40.771078,-73.980705,40.763274,1,9.881214028097796,2010,8,22,6,33,17
163,14:08.0,2010-08-22 17:14:08,-73.992531,40.758518,-74.01358,40.702339,1,6.489653439561225,2010,8,22,6,33,17
164,14:08.0,2010-08-22 17:14:08,-74.010177,40.721474,-74.016017,40.717565,1,0.6562179132164252,2010,8,22,6,33,17
165,14:08.0,2010-08-22 17:14:08,-73.977022,40.747605,-73.957033,40.766981,1,2.7326126360436502,2010,8,22,6,33,17
166,58:08.0,2012-08-06 04:58:08,-73.996535,40.716279,-73.993749,40.71475,1,0.2897147483233339,2012,8,6,0,32,4
167,58:08.0,2012-08-06 04:58:08,-73.915507,40.746298,-73.986717,40.740458,1,6.0303963620892915,2012,8,6,0,32,4
168,34:12.0,2013-11-04 04:34:12,-73.946295,40.780178,-73.955901,40.784911,1,0.9643370450869618,2013,11,4,0,45,4
169,34:12.0,2013-11-04 04:34:12,-73.995487,40.730777,-74.007569,40.751626,1,2.530332616891698,2013,11,4,0,45,4
170,34:12.0,2013-11-04 04:34:12,-73.983985,40.769246,-73.987803,40.7479,1,2.3937480232917103,2013,11,4,0,45,4
171,34:48.0,2011-06-24 16:34:48,-73.97265,40.759165,-73.986713,40.73974,1,2.4619478807479034,2011,6,24,4,25,16
172,34:48.0,2011-06-24 16:34:48,-74.001481,40.727788,-73.967842,40.801968,1,8.7159230683833,2011,6,24,4,25,16
173,38:36.0,2011-03-28 16:38:36,-74.005496,40.745833,-73.991388,40.755096,1,1.5716606583998303,2011,3,28,0,13,16
174,38:36.0,2011-03-28 16:38:36,-73.950124,40.809802,-73.948837,40.807466,1,0.28125450692158727,2011,3,28,0,13,16
175,38:36.0,2011-03-28 16:38:36,-73.982742,40.761639,-74.003303,40.743807,1,2.6310645840419538,2011,3,28,0,13,16
176,36:28.0,2011-08-14 16:36:28,-74.000951,40.73185,-74.005094,40.718853,1,1.4858390507271,2011,8,14,6,32,16
177,36:28.0,2011-08-14 16:36:28,-73.980988,40.752928,-73.990592,40.736779,1,1.9683063335341635,2011,8,14,6,32,16
178,36:28.0,2011-08-14 16:36:28,-73.994588,40.745616,-73.976172,40.668559,1,8.702360525940533,2011,8,14,6,32,16
179,36:28.0,2011-08-14 16:36:28,-73.973,40.7642,-73.9516,40.7737,1,2.0876312534025874,2011,8,14,6,32,16
180,52:44.0,2015-02-21 11:52:44,-73.99964142,40.76128387,-74.00495911,40.70695114,1,6.054312059894222,2015,2,21,5,8,11
181,52:44.0,2015-02-21 11:52:44,-73.99768066,40.74091339,-73.97631073,40.73230743,1,2.037730978421452,2015,2,21,5,8,11
182,52:44.0,2015-02-21 11:52:44,-73.98439026,40.6964035,-73.98313141,40.7441597,1,5.307972116886297,2015,2,21,5,8,11
183,52:44.0,2015-02-21 11:52:44,-73.98043823,40.734478,-74.00392914,40.74144745,1,2.1241518711650174,2015,2,21,5,8,11
184,29:52.0,2013-01-29 07:29:52,-74.000547,40.742711,-73.992309,40.764048,1,2.4704076168263067,2013,1,29,1,5,7
185,03:48.0,2014-09-12 15:03:48,-73.986059,40.750543,-73.976333,40.732467,1,2.1692015085964496,2014,9,12,4,37,15
186,52:40.0,2013-11-09 14:52:40,-74.005436,40.721001,-73.984981,40.724268,1,1.760541245282138,2013,11,9,5,45,14
187,52:40.0,2013-11-09 14:52:40,-73.99076,40.750222,-74.001369,40.721367,1,3.328623066743804,2013,11,9,5,45,14
188,10:04.0,2013-04-25 12:10:04,-73.971341,40.751362,-73.776249,40.645615,1,20.205088282780274,2013,4,25,3,17,12
189,10:04.0,2013-04-25 12:10:04,-73.995792,40.753923,-73.979892,40.751194,1,1.3724069567757569,2013,4,25,3,17,12
190,37:52.0,2013-09-07 10:37:52,-73.942504,40.812047,-73.961201,40.801051,1,1.9915749734975754,2013,9,7,5,36,10
191,37:52.0,2013-09-07 10:37:52,-74.009985,40.721755,-73.98842,40.714197,1,2.0010987312781423,2013,9,7,5,36,10
192,37:52.0,2013-09-07 10:37:52,-73.999344,40.742281,-74.007075,40.748069,1,0.9150616033437998,2013,9,7,5,36,10
193,16:20.0,2011-05-21 09:16:20,-73.989861,40.76742,-73.982949,40.77692,1,1.2053384061422,2011,5,21,5,20,9
194,16:20.0,2011-05-21 09:16:20,-73.980611,40.751283,-73.968612,40.758526,1,1.291527047569937,2011,5,21,5,20,9
195,16:20.0,2011-05-21 09:16:20,-73.997552,40.721409,-74.005576,40.744953,1,2.7021671146042,2011,5,21,5,20,9
196,36:24.0,2011-11-25 12:36:24,-73.993943,40.740982,-73.98323,40.731559,1,1.3820954914242176,2011,11,25,4,47,12
197,36:24.0,2011-11-25 12:36:24,-74.000256,40.730506,-73.979219,40.761097,1,3.8331334047076906,2011,11,25,4,47,12
198,54:04.0,2015-01-31 16:54:04,-74.00137329,40.73705673,-73.99819183,40.72898865,1,0.9357352529308276,2015,1,31,5,5,16
199,31:28.0,2010-11-01 19:31:28,-73.996852,40.737529,-73.991014,40.755837,1,2.0930047851705815,2010,11,1,0,44,19
200,31:28.0,2010-11-01 19:31:28,-73.959735,40.767036,-73.979618,40.743739,1,3.0827903035927,2010,11,1,0,44,19
201,31:28.0,2010-11-01 19:31:28,-73.998827,40.724698,-73.972162,40.747326,1,3.371062397278038,2010,11,1,0,44,19
202,57:04.0,2011-03-24 11:57:04,-73.982587,40.746472,-73.98381,40.743944,1,0.2991993613181259,2011,3,24,3,12,11
203,57:04.0,2011-03-24 11:57:04,-73.959245,40.767553,-73.977747,40.776222,1,1.8309816692059542,2011,3,24,3,12,11
204,37:04.0,2010-05-10 06:37:04,-73.976646,40.749266,-73.990333,40.745231,1,1.2364483869360312,2010,5,10,0,19,6
205,37:04.0,2010-05-10 06:37:04,-73.985901,40.75565,-73.975898,40.75736,1,0.8631909147766467,2010,5,10,0,19,6
206,37:04.0,2010-05-10 06:37:04,-74.011108,40.715461,-73.996243,40.696673,1,2.4345562061667625,2010,5,10,0,19,6
